model	subword_pooling	layer_pooling	task	dev_acc	test_acc
huBERT	first	0	case_noun	0.1203703703703703	0.1111111111111111
huBERT	first	0	case_noun	0.1064814814814814	0.1018518518518518
huBERT	first	0	case_noun	0.1388888888888889	0.1157407407407407
huBERT	first	0	degree_adj	0.805	0.7910447761194029
huBERT	first	0	degree_adj	0.81	0.7860696517412935
huBERT	first	0	degree_adj	0.8	0.8358208955223879
huBERT	first	0	mood_verb	0.385	0.365
huBERT	first	0	mood_verb	0.39	0.32
huBERT	first	0	mood_verb	0.4	0.325
huBERT	first	0	number[psor]_noun	0.645	0.62
huBERT	first	0	number[psor]_noun	0.645	0.63
huBERT	first	0	number[psor]_noun	0.68	0.57
huBERT	first	0	number_adj	0.65	0.66
huBERT	first	0	number_adj	0.665	0.665
huBERT	first	0	number_adj	0.675	0.66
huBERT	first	0	number_noun	0.575	0.545
huBERT	first	0	number_noun	0.535	0.515
huBERT	first	0	number_noun	0.55	0.565
huBERT	first	0	number_verb	0.565	0.495
huBERT	first	0	number_verb	0.575	0.49
huBERT	first	0	number_verb	0.59	0.495
huBERT	first	0	person[psor]_noun	0.5074626865671642	0.4676616915422885
huBERT	first	0	person[psor]_noun	0.4626865671641791	0.4776119402985074
huBERT	first	0	person[psor]_noun	0.4427860696517413	0.4676616915422885
huBERT	first	0	person_verb	0.4328358208955223	0.4278606965174129
huBERT	first	0	person_verb	0.4427860696517413	0.4129353233830846
huBERT	first	0	person_verb	0.4278606965174129	0.4079601990049751
huBERT	first	0	tense_verb	0.565	0.59
huBERT	first	0	tense_verb	0.565	0.615
huBERT	first	0	tense_verb	0.58	0.62
huBERT	first	0	verbform_verb	0.555	0.485
huBERT	first	0	verbform_verb	0.555	0.505
huBERT	first	0	verbform_verb	0.555	0.505
huBERT	first	1	case_noun	0.2037037037037037	0.1851851851851852
huBERT	first	1	case_noun	0.162037037037037	0.1712962962962963
huBERT	first	1	case_noun	0.1527777777777778	0.1898148148148148
huBERT	first	1	degree_adj	0.865	0.8756218905472637
huBERT	first	1	degree_adj	0.86	0.8656716417910447
huBERT	first	1	degree_adj	0.86	0.8656716417910447
huBERT	first	1	mood_verb	0.565	0.53
huBERT	first	1	mood_verb	0.575	0.55
huBERT	first	1	mood_verb	0.56	0.5
huBERT	first	1	number[psor]_noun	0.775	0.805
huBERT	first	1	number[psor]_noun	0.785	0.795
huBERT	first	1	number[psor]_noun	0.775	0.775
huBERT	first	1	number_adj	0.73	0.73
huBERT	first	1	number_adj	0.71	0.695
huBERT	first	1	number_adj	0.745	0.725
huBERT	first	1	number_noun	0.725	0.715
huBERT	first	1	number_noun	0.74	0.71
huBERT	first	1	number_noun	0.71	0.725
huBERT	first	1	number_verb	0.69	0.6
huBERT	first	1	number_verb	0.67	0.62
huBERT	first	1	number_verb	0.68	0.59
huBERT	first	1	person[psor]_noun	0.746268656716418	0.7064676616915423
huBERT	first	1	person[psor]_noun	0.7711442786069652	0.7213930348258707
huBERT	first	1	person[psor]_noun	0.7611940298507462	0.7064676616915423
huBERT	first	1	person_verb	0.5422885572139303	0.5870646766169154
huBERT	first	1	person_verb	0.5522388059701493	0.6019900497512438
huBERT	first	1	person_verb	0.527363184079602	0.582089552238806
huBERT	first	1	tense_verb	0.715	0.755
huBERT	first	1	tense_verb	0.715	0.74
huBERT	first	1	tense_verb	0.725	0.74
huBERT	first	1	verbform_verb	0.785	0.745
huBERT	first	1	verbform_verb	0.79	0.745
huBERT	first	1	verbform_verb	0.79	0.765
huBERT	first	10	case_noun	0.4398148148148148	0.4490740740740741
huBERT	first	10	case_noun	0.4351851851851852	0.4861111111111111
huBERT	first	10	case_noun	0.4537037037037037	0.4074074074074074
huBERT	first	10	degree_adj	0.91	0.9154228855721394
huBERT	first	10	degree_adj	0.905	0.9154228855721394
huBERT	first	10	degree_adj	0.91	0.9203980099502488
huBERT	first	10	mood_verb	0.77	0.765
huBERT	first	10	mood_verb	0.755	0.775
huBERT	first	10	mood_verb	0.765	0.765
huBERT	first	10	number[psor]_noun	0.925	0.905
huBERT	first	10	number[psor]_noun	0.935	0.905
huBERT	first	10	number[psor]_noun	0.93	0.905
huBERT	first	10	number_adj	0.925	0.91
huBERT	first	10	number_adj	0.935	0.925
huBERT	first	10	number_adj	0.945	0.9
huBERT	first	10	number_noun	0.955	0.92
huBERT	first	10	number_noun	0.95	0.92
huBERT	first	10	number_noun	0.94	0.925
huBERT	first	10	number_verb	0.865	0.855
huBERT	first	10	number_verb	0.865	0.83
huBERT	first	10	number_verb	0.88	0.86
huBERT	first	10	person[psor]_noun	0.8656716417910447	0.8855721393034826
huBERT	first	10	person[psor]_noun	0.8756218905472637	0.8955223880597015
huBERT	first	10	person[psor]_noun	0.8706467661691543	0.9004975124378108
huBERT	first	10	person_verb	0.8507462686567164	0.8407960199004975
huBERT	first	10	person_verb	0.8407960199004975	0.8358208955223879
